Year,Site,Replicate,Fortnight exposed,Fortnight start date,Fortnight end date,Assessment,Batch assessment,Assessment date,Younger foliage score_Updated ,Older foliage score_Updated ,Sampled,Pp,Pk,Pp+Pk
1,Blue,1,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Blue,2,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Blue,3,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Blue,4,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Blue,5,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Blue,6,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,1,1,0,0
1,Blue,7,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Green,1,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Green,2,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Green,3,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Green,4,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Green,5,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Green,6,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Green,7,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Red,1,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Red,2,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Red,3,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Red,4,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Red,5,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Red,6,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Red,7,1,11/20/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Yellow,1,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Yellow,2,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Yellow,3,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Yellow,4,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Yellow,5,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,,,,
1,Yellow,6,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Yellow,7,1,11/21/2017,12/05/2017,2,1,12/05/2017,0,0,1,0,0,0
1,Blue,1,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Blue,2,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Blue,3,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Blue,4,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Blue,5,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Blue,6,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Blue,7,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Green,1,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Green,2,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Green,3,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Green,4,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Green,5,1,11/21/2017,12/05/2017,3,2,12/19/2017,,,,,,
1,Green,6,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Green,7,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Red,1,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Red,2,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Red,3,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Red,4,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Red,5,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Red,6,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Red,7,1,11/20/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Yellow,1,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Yellow,2,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Yellow,3,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Yellow,4,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,1,0,0,0
1,Yellow,5,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,,,,,
1,Yellow,6,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Yellow,7,1,11/21/2017,12/05/2017,3,2,12/19/2017,0,0,,,,
1,Blue,1,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Blue,2,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Blue,3,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Blue,4,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Blue,5,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Blue,6,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Blue,7,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Green,1,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Green,2,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Green,3,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Green,4,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Green,5,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Green,6,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Green,7,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Red,1,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Red,2,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Red,3,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Red,4,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Red,5,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Red,6,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Red,7,1,11/20/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Yellow,1,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Yellow,2,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Yellow,3,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Yellow,4,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,1,0,0,0
1,Yellow,5,1,11/21/2017,12/05/2017,4,3,01/17/2018,0,0,,,,
1,Yellow,6,1,11/21/2017,12/05/2017,4,3,01/17/2018,,,,,,
1,Yellow,7,1,11/21/2017,12/05/2017,4,3,01/17/2018,,,,,,
1,Blue,1,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Blue,2,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Blue,3,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Blue,4,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Blue,5,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Blue,6,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Blue,7,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Green,1,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Green,2,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Green,3,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Green,4,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Green,5,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Green,6,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Green,7,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Red,1,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Red,2,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Red,3,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Red,4,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Red,5,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Red,6,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Red,7,1,11/20/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Yellow,1,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Yellow,2,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Yellow,3,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Yellow,4,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Yellow,5,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,1,0,0,0
1,Yellow,6,1,11/21/2017,12/05/2017,5,4,02/03/2018,,,,,,
1,Yellow,7,1,11/21/2017,12/05/2017,5,4,02/03/2018,0,0,,,,
1,Blue,1,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Blue,2,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Blue,3,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Blue,4,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Blue,5,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Blue,6,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Blue,7,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Green,1,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Green,2,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Green,3,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Green,4,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Green,5,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Green,6,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Green,7,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Red,1,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Red,2,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Red,3,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Red,4,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Red,5,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Red,6,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Red,7,1,11/20/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Yellow,1,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Yellow,2,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Yellow,3,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Yellow,4,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Yellow,5,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,1,0,0,0
1,Yellow,6,1,11/21/2017,12/05/2017,6,5,02/15/2018,,,,,,
1,Yellow,7,1,11/21/2017,12/05/2017,6,5,02/15/2018,0,0,,,,
1,Blue,1,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Blue,2,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Blue,3,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Blue,4,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Blue,5,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Blue,6,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Blue,7,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Green,1,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Green,2,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Green,3,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Green,4,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Green,5,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Green,6,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Green,7,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Red,1,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Red,2,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Red,3,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Red,4,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Red,5,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Red,6,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Red,7,1,11/20/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Yellow,1,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Yellow,2,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Yellow,3,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Yellow,4,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Yellow,5,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,1,0,0,0
1,Yellow,6,1,11/21/2017,12/05/2017,7,6,03/01/2018,,,,,,
1,Yellow,7,1,11/21/2017,12/05/2017,7,6,03/01/2018,0,0,,,,
1,Blue,1,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Blue,2,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Blue,3,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Blue,4,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Blue,5,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Blue,6,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Blue,7,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Green,1,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Green,2,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Green,3,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Green,4,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Green,5,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Green,6,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Green,7,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Red,1,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Red,2,2,12/05/2017,12/19/2017,3,1,12/19/2017,,,,,,
1,Red,3,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Red,4,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Red,5,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Red,6,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Red,7,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Yellow,1,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Yellow,2,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,1,0,0,0
1,Yellow,3,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Yellow,4,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Yellow,5,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Yellow,6,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Yellow,7,2,12/05/2017,12/19/2017,3,1,12/19/2017,0,0,,,,
1,Blue,1,2,12/05/2017,12/19/2017,4,2,01/17/2018,,,,,,
1,Blue,2,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Blue,3,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Blue,4,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Blue,5,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Blue,6,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Blue,7,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Green,1,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Green,2,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Green,3,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Green,4,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Green,5,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Green,6,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Green,7,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Red,1,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Red,2,2,12/05/2017,12/19/2017,4,2,01/17/2018,,,,,,
1,Red,3,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Red,4,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Red,5,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Red,6,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Red,7,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Yellow,1,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Yellow,2,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Yellow,3,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Yellow,4,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Yellow,5,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,1,0,0,0
1,Yellow,6,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Yellow,7,2,12/05/2017,12/19/2017,4,2,01/17/2018,0,0,,,,
1,Blue,1,2,12/05/2017,12/19/2017,5,3,02/03/2018,,,,,,
1,Blue,2,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Blue,3,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Blue,4,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Blue,5,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Blue,6,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Blue,7,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Green,1,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Green,2,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Green,3,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Green,4,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Green,5,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Green,6,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Green,7,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Red,1,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Red,2,2,12/05/2017,12/19/2017,5,3,02/03/2018,,,,,,
1,Red,3,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Red,4,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Red,5,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Red,6,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Red,7,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Yellow,1,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Yellow,2,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Yellow,3,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Yellow,4,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Yellow,5,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,1,0,0,0
1,Yellow,6,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Yellow,7,2,12/05/2017,12/19/2017,5,3,02/03/2018,0,0,,,,
1,Blue,1,2,12/05/2017,12/19/2017,6,4,02/15/2018,,,,,,
1,Blue,2,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Blue,3,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Blue,4,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Blue,5,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Blue,6,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Blue,7,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Green,1,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Green,2,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Green,3,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Green,4,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Green,5,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Green,6,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Green,7,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Red,1,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Red,2,2,12/05/2017,12/19/2017,6,4,02/15/2018,,,,,,
1,Red,3,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Red,4,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Red,5,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Red,6,2,12/05/2017,12/19/2017,6,4,02/15/2018,,,,,,
1,Red,7,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Yellow,1,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Yellow,2,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Yellow,3,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Yellow,4,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Yellow,5,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Yellow,6,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,1,0,0,0
1,Yellow,7,2,12/05/2017,12/19/2017,6,4,02/15/2018,0,0,,,,
1,Blue,1,2,12/05/2017,12/19/2017,7,5,03/01/2018,,,,,,
1,Blue,2,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Blue,3,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Blue,4,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Blue,5,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Blue,6,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Blue,7,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Green,1,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Green,2,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Green,3,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Green,4,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Green,5,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Green,6,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Green,7,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Red,1,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Red,2,2,12/05/2017,12/19/2017,7,5,03/01/2018,,,,,,
1,Red,3,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Red,4,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Red,5,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Red,6,2,12/05/2017,12/19/2017,7,5,03/01/2018,,,,,,
1,Red,7,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Yellow,1,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Yellow,2,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Yellow,3,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Yellow,4,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Yellow,5,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,1,0,0,0
1,Yellow,6,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Yellow,7,2,12/05/2017,12/19/2017,7,5,03/01/2018,0,0,,,,
1,Blue,1,2,12/05/2017,12/19/2017,8,6,03/16/2018,,,,,,
1,Blue,2,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,,,,
1,Blue,3,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,1,0,0,0
1,Blue,4,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,,,,
1,Blue,5,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,,,,
1,Blue,6,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,,,,
1,Blue,7,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,1,0,0,0
1,Green,1,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,,,,
1,Green,2,2,12/05/2017,12/19/2017,8,6,03/16/2018,0,0,,,,
